File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-sol-therm-002-001,0.99944,0.00026,96.96,2.19,0.85,3.04,24882,0.038099
leu-sol-therm-004-001,1.00057,0.00009,96.12,3.17,0.71,3.88,18947,0.04146
leu-sol-therm-002-002,0.99641,0.00028,96.59,2.44,0.97,3.41,28215,0.039968
leu-sol-therm-004-002,1.00157,0.00009,96.32,3.01,0.67,3.68,17921,0.040431
leu-sol-therm-004-003,0.99985,0.00009,96.55,2.83,0.63,3.45,16726,0.03925
leu-sol-therm-004-004,1.00204,0.00008,96.71,2.7,0.6,3.29,15961,0.038477
leu-sol-therm-004-005,1.00195,0.00008,96.83,2.6,0.57,3.17,15335,0.037899
leu-sol-therm-004-007,1.00121,0.00008,97,2.46,0.54,3,14471,0.03707
leu-sol-therm-007-001,0.99503,0.0001,95.97,3.28,0.75,4.03,19947,0.042187
leu-sol-therm-007-002,0.99732,0.00009,96.22,3.08,0.7,3.78,18630,0.04087
leu-sol-therm-004-006,1.00115,0.00008,96.93,2.52,0.55,3.07,14849,0.037423
leu-sol-therm-007-003,0.99601,0.00009,96.47,2.88,0.65,3.53,17335,0.039599
leu-sol-therm-007-004,0.99891,0.00009,96.63,2.75,0.62,3.37,16491,0.038812
leu-sol-therm-007-005,0.9974,0.00008,96.76,2.65,0.59,3.24,15889,0.038198
leu-sol-therm-007-030,0.99714,0.00032,96.23,3.07,0.7,3.77,18656,0.040882
leu-sol-therm-007-032,0.99585,0.00028,96.46,2.89,0.65,3.54,17384,0.039646
leu-sol-therm-007-014,0.99467,0.00032,95.97,3.28,0.75,4.03,20025,0.042194
leu-sol-therm-020-001,0.99998,0.00008,96.91,2.53,0.56,3.09,15074,0.037469
leu-sol-therm-020-002,0.99947,0.00008,97.09,2.38,0.53,2.91,14188,0.036631
leu-sol-therm-007-036,0.99895,0.00029,96.64,2.74,0.61,3.36,16441,0.038768
leu-sol-therm-007-049,0.99723,0.00026,96.74,2.66,0.59,3.26,15926,0.038276
leu-sol-therm-020-004,1.0001,0.00007,97.41,2.12,0.46,2.59,12539,0.035148
leu-sol-therm-020-003,0.99904,0.00007,97.3,2.21,0.49,2.7,13091,0.035657
leu-sol-therm-021-001,0.99783,0.00009,96.86,2.56,0.57,3.14,15431,0.037688
leu-sol-therm-021-002,0.99827,0.00008,97.05,2.42,0.54,2.95,14465,0.036803
leu-sol-therm-021-004,0.99942,0.00007,97.38,2.15,0.47,2.62,12756,0.035267
leu-sol-therm-021-003,0.99742,0.00008,97.27,2.24,0.49,2.73,13362,0.035784
leu-sol-therm-007-case-32,0.99585,0.00028,96.46,2.89,0.65,3.54,17384,0.039646
leu-sol-therm-007-case-14,0.99467,0.00032,95.97,3.28,0.75,4.03,20025,0.042194
leu-sol-therm-007-case-30,0.99714,0.00032,96.23,3.07,0.7,3.77,18656,0.040882
leu-sol-therm-007-case-36,0.99895,0.00029,96.64,2.74,0.61,3.36,16441,0.038768
leu-sol-therm-007-case-49,0.99723,0.00026,96.74,2.66,0.59,3.26,15926,0.038276
leu-sol-therm-002-case-1,0.99944,0.00026,96.96,2.19,0.85,3.04,24882,0.038099
leu-sol-therm-002-case-2,0.99641,0.00028,96.59,2.44,0.97,3.41,28215,0.039968
